Zipcode,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
11234,101.8545538,224.2850015,117.1179927,122.4101305,78.39002141,73.96531121,112.7792019,143.7064543,286.027387
11210,58.30514775,95.6896898,82.74188827,82.91515772,73.37802279,130.3617333,180.4185901,163.8192341,261.0202609
11354,44.46177299,70.11507659,72.27673421,98.94464573,100.9826609,110.1961039,240.8018481,196.8941022,304.3786269
10451,41.28782155,70.81951052,78.15811485,86.60771996,89.63152377,182.6195457,79.78103538,99.28598392,106.3613075
10031,45.22337919,78.3777121,73.24542933,35.67737992,68.37444992,107.5520403,89.46886406,103.6460773,97.55794378
11364,48.39814365,74.93254988,103.8543541,125.52223,169.740607,98.90517153,204.0582281,177.3980541,337.6240454
10301,44.71986312,76.33126245,59.94109661,82.49901113,72.76056537,75.10697586,111.6817121,151.3626608,164.7291094
10016,36.49315141,52.64786037,68.25087237,85.24068373,171.9204513,162.7001335,112.9645107,125.6427571,183.1931323
10305,34.19057346,58.66191871,68.8416321,45.32687542,73.26732281,89.18091503,94.75593907,147.3385145,185.0085092
11217,33.98218664,62.54361435,70.89218543,96.36146901,123.2112964,83.32301864,139.2570634,161.9545922,177.3911991
10022,39.57160569,72.27840638,93.33543237,215.3206524,186.5132505,192.2369407,125.0938227,165.8294286,148.6091415
11103,27.81791559,63.34296997,54.68267342,66.09453106,70.3455052,63.4325731,57.60388578,165.9867667,307.5554313
10036,44.5284452,81.56935386,138.2348929,192.447322,137.9013001,156.2030806,83.14848026,132.8252676,106.1062318
10017,43.07392558,58.06001758,107.568708,238.8539697,308.8908367,181.0615841,170.7004619,165.4627088,172.8117782
10065,43.58853971,83.09603927,89.55936869,127.3365428,117.0219041,173.2763498,92.42919612,139.3934486,140.3456163
10075,50.46937748,128.8803891,112.2746638,87.17489232,355.5622248,187.9974132,180.4063011,180.2009717,208.2119148
10010,47.0574739,78.77096753,75.77080932,82.77411698,205.2273333,97.14742867,109.4939994,109.6785371,122.3037247
10023,36.56939797,62.5789187,91.07501236,109.681523,95.39757168,123.8768868,84.86673046,92.10978775,135.2482853
10021,45.03177762,90.97285272,90.68065146,119.3934176,124.7283745,181.3772255,156.2368171,139.8601212,299.6433696
11377,31.75338704,67.20579324,67.68737212,69.33394569,85.43296999,64.64366339,51.31855962,116.9547659,178.8864773
10003,41.05522949,59.04590421,82.01040972,102.8473067,163.9798691,195.766625,106.8222449,115.9487133,141.6206844
11379,24.43350541,51.80583778,70.74156163,94.0616772,70.05652717,113.7604279,89.15359672,110.7830645,322.108235
10001,42.85817687,48.87067338,96.13054878,147.4308658,186.9409362,138.384647,53.69651419,85.28272455,94.10443068
10009,32.75329452,62.63521097,62.46009855,43.07491595,66.99466227,98.90906689,119.124485,78.158597,105.8634965
11207,42.77395681,66.26833043,85.39817841,71.49557448,112.5429158,104.5824803,152.6186408,148.9247202,138.4189174
11237,49.18616489,97.195912,92.16381318,88.66827096,73.23684034,91.35018402,136.3828972,101.265572,113.6505546
10002,39.96922936,62.71306852,74.58404685,56.6948816,99.0375498,99.41450011,108.2766531,103.8454374,85.80304547
11104,42.4379015,89.37787335,105.4722847,62.94265586,78.39158221,57.53203211,97.09819494,208.7110933,187.9512677
10035,43.90501593,76.42069998,83.57377245,78.90966975,97.34990168,167.6701613,157.7673175,108.1560749,112.2480523
11373,33.46752611,60.5066224,78.00789862,80.85831697,69.25107089,78.52654702,82.98741165,121.6332367,265.6160161
11212,44.9907669,71.52258843,90.07799579,70.14451377,59.23517084,158.2791131,157.371199,140.4397515,209.0070269
11213,49.03755108,75.17081837,72.89438643,71.46631864,70.60437698,124.7923871,137.7963695,155.0606595,159.3670008
10454,43.92496083,84.9410382,80.13937374,129.0667551,115.5134247,171.3220221,96.44659959,94.32191526,124.4282591
10128,51.54371408,94.55579537,91.90377402,84.52519535,65.98485082,179.7103697,129.7989071,157.8468179,161.9611665
11375,46.17503979,75.46870382,87.25227504,92.32469775,84.23241157,80.27586457,135.2181527,165.833163,270.9213805
10004,18.76914036,36.92646715,141.4068161,74.26938034,149.3871907,128.0246166,70.14566104,80.71358735,203.1427741
10458,43.86687257,82.58862473,110.6799989,89.08133569,136.7884436,205.5522844,116.2352789,127.005224,99.25396529
11230,44.71212928,61.45628149,83.32683794,73.9846036,78.6532279,135.5935795,177.1957144,211.9699787,264.2215893
10168,2.6275,259.841875,102.3538889,221.7246296,1087.750417,0.371111111,0.173240741,0,4.251111111
11238,39.11093036,50.76302944,68.16781805,80.66918452,101.205561,90.14733765,123.4347015,152.7260847,116.9352642
11224,46.94919649,50.93885974,65.40976486,63.83099133,75.25662724,80.47500563,93.26855562,117.1155545,166.5965478
10453,44.97083212,99.81350551,114.1808612,71.48077568,119.6361005,152.9480159,53.20073898,83.68454153,108.3206776
10457,51.9730029,74.66790172,81.60404545,69.30541902,126.4064836,136.5348678,62.00956353,67.13234104,109.5174347
11236,46.04925173,64.07666037,86.89116781,90.37242001,77.1008545,90.23141553,117.1950979,123.7324656,179.1501244
11413,38.12476198,63.92333333,88.191235,127.7370222,198.9249376,66.53624066,97.51418509,120.9329453,278.4609096
11415,38.68868344,90.57341379,95.59107418,30.71156331,38.01636405,91.73458504,120.5503377,198.5489593,352.7352935
11432,38.7360954,67.64403789,92.61054067,114.018448,128.0247923,82.17605098,83.64906711,150.426908,265.4507466
11361,43.46242725,72.5696255,69.1798824,120.2044874,153.7673021,122.0641411,161.4026538,181.8002436,382.6739035
11372,42.61820707,69.91864834,76.34698648,71.77082419,54.92998107,81.05952226,46.65459658,171.2597786,201.8937444
11419,28.84979911,46.06926676,45.52047225,87.53657347,100.1859355,61.99579014,34.53513321,138.384183,159.6784271
10466,51.80567575,103.130511,83.45673558,17.11732114,28.48660524,48.43116106,30.60992191,23.55594834,20.1927214
10472,35.25249976,65.6921067,85.68533554,102.3581009,136.3401958,165.3481267,86.34326432,69.15706678,75.61919942
10029,38.26210739,70.29901214,62.18930103,51.60904688,54.64498414,85.02512444,116.7919864,90.53143,125.6720924
11691,43.31571826,77.11026681,108.8688656,91.02895343,106.8995882,154.2002512,140.4350245,216.4761242,450.6143024
11433,34.98008108,53.80758611,64.25256742,100.419745,129.1261731,81.50545905,132.3729712,135.7727135,196.8182197
11204,31.67494325,50.00396958,77.04197558,66.19442753,75.01218561,74.68780509,105.7703778,164.6681235,218.1459883
10306,41.9319796,48.36643803,66.60909185,89.89914761,77.1530133,70.03434524,88.02674048,149.6210362,266.635576
11412,41.94883812,68.68180498,91.28440336,123.4931199,86.35595911,113.0989984,145.9408839,158.0480297,313.1432631
